partition_wallclock,cum_te_partition_qos,partition_qos_max_runtime_seen,program_type_job_type_qos_partition_ratio_runtime_ema
288000.0,890.0958904109589,146612.0,1039.0000104904175
8640000.0,16659.710217755444,161215.0,8902.999949455261
432000.0,346.6469489414695,14052.0,1850.9999513626099
432000.0,304.7315436241611,14052.0,48.00000116229057
10368000.0,60852.358443188954,172585.0,18011.99998855591
10368000.0,48803.04505386876,172220.0,17165.000438690186
8640000.0,19281.677352637023,171742.0,54497.000885009766
432000.0,327.61140024783145,14052.0,1873.0000734329224
432000.0,331.09374201787995,14052.0,5039.9999141693115
10368000.0,60852.358443188954,172585.0,18011.99998855591
1080000.0,23575.05909090909,161215.0,3.750000090803951
144000.0,119.37565036420395,13005.0,12.000000290572643
432000.0,277.00464156781845,14052.0,163.00000101327896
8640000.0,16270.122088353413,170322.0,2683.0000519752502
900000.0,14576.344324887192,172643.0,55.50000071525574
10368000.0,66376.63632404181,172585.0,18623.999404907227
144000.0,1413.8983050847457,13005.0,22.999999299645424
10368000.0,66376.63632404181,172585.0,18623.999404907227
144000.0,449.53694581280786,13005.0,17.999999597668648
144000.0,449.53694581280786,13005.0,17.999999597668648
108000.0,1335.651012145749,14085.0,901.9999623298645
432000.0,333.6769841269841,14052.0,5583.999967575073
27000.0,334.102714209686,14052.0,6.749999849125743
144000.0,104.20297029702971,13005.0,6.000000145286322
2160000.0,19960.6571998007,171742.0,6243.249821662903
10368000.0,60852.358443188954,172585.0,18011.99998855591
144000.0,449.53694581280786,13005.0,17.999999597668648
10368000.0,54343.03370786517,172478.0,18011.99998855591
144000.0,449.53694581280786,13005.0,17.999999597668648
900000.0,12518.943514050525,172643.0,906.6666439175606
432000.0,277.00464156781845,14052.0,163.00000101327896
144000.0,449.53694581280786,13005.0,17.999999597668648
432000.0,261.2485966319166,10861.0,59.00000184774399
10368000.0,33108.243902439026,147585.0,95038.00392150879
162000.0,1271.4754578754578,14085.0,967.000025510788
414000.0,465.2645563770795,14052.0,36.799999605864286
144000.0,94.77090764962347,13005.0,10.999999847263098
10368000.0,41797.389396709325,172220.0,49701.00002288818
4320000.0,17456.973365617432,161215.0,3740.0001525878906
2160000.0,19960.6571998007,171742.0,6243.249821662903
432000.0,271.9217948717949,10861.0,53.99999879300594
216000.0,258.95578778135047,10861.0,5430.4999351501465
2160000.0,19960.6571998007,171742.0,6243.249821662903
432000.0,290.1529888551165,9996.0,85.00000163912773
144000.0,119.37565036420395,13005.0,12.000000290572643
432000.0,1515.3177290836654,13734.0,297.00001180171967
432000.0,1615.0983606557377,13734.0,67.99999997019768
432000.0,515.0287539936103,9996.0,45.000000670552254
288000.0,890.0958904109589,146612.0,1039.0000104904175
10368000.0,33949.19520547945,164698.0,164698.00186157227
10368000.0,54572.779315960914,172478.0,18011.99998855591
4320000.0,21050.302631578947,161215.0,15.999999968335032
1080000.0,25156.188118811882,161215.0,84.50000435113907
432000.0,277.00464156781845,14052.0,163.00000101327896
8637000.0,12201.176807072283,172643.0,9368.745693191886
432000.0,1615.0983606557377,13734.0,67.99999997019768
144000.0,157.0130769230769,13005.0,18.999999202787876
4320000.0,11885.149764150943,168245.0,15032.000541687012
900000.0,14576.344324887192,172643.0,55.50000071525574
4320000.0,21644.407692307694,161215.0,92.99999848008156
432000.0,338.5521848037851,14052.0,121.00000083446503
432000.0,298.00125365649814,14052.0,28.000000678002834
10368000.0,54343.03370786517,172478.0,18011.99998855591
10368000.0,41782.91391941392,172220.0,33202.9993057251
432000.0,331.09374201787995,14052.0,5039.9999141693115
432000.0,343.38292404340376,14052.0,1147.000014781952
36000.0,2336.9271844660193,13734.0,91.91666543483734
10368000.0,54343.03370786517,172478.0,18011.99998855591
432000.0,271.9350415012631,14052.0,84.00000035762787
8640000.0,16659.710217755444,161215.0,8902.999949455261
10368000.0,40780.92664092664,172220.0,5167.999970912933
144000.0,104.20297029702971,13005.0,6.000000145286322
8640000.0,22080.6875,125056.0,109.99999679625034
151200.0,1478.6888246628132,13734.0,198.79999190568924
1800000.0,11554.997311827958,168245.0,5.000000121071935
432000.0,325.4260162601626,9996.0,56.99999928474426
432000.0,2501.74251497006,13734.0,46.192467212677
144000.0,449.53694581280786,13005.0,17.999999597668648
432000.0,334.5994081248318,14052.0,60.00000312924385
2160000.0,19960.6571998007,171742.0,6243.249821662903
10368000.0,26937.95918367347,147585.0,0.0
144000.0,80.96569250317663,13005.0,16.99999999254942
432000.0,325.4260162601626,9996.0,56.99999928474426
432000.0,416.83700440528634,9996.0,43.99999938905239
10368000.0,40986.22840690979,172220.0,5167.999970912933
5400000.0,12182.917045454546,168245.0,55.9999980032444
1440000.0,12470.826865671641,167240.0,15436.333465576172
432000.0,341.9469835466179,14052.0,708.0000221729279
432000.0,342.73352435530086,14052.0,4185.0000858306885
144000.0,94.77090764962347,13005.0,10.999999847263098
144000.0,156.71589310829816,13005.0,24.000000581145287
108000.0,2928.2537313432836,13142.0,1814.9999856948853
108000.0,1386.6918454935621,14085.0,629.0000081062317
144000.0,1515.1,13005.0,22.999999299645424
2160000.0,19960.6571998007,171742.0,6243.249821662903
144000.0,104.20297029702971,13005.0,6.000000145286322
108000.0,1272.5376506024097,14085.0,126.0000005364418
1800000.0,12171.738209817131,168245.0,19.333333242684603
2160000.0,19960.6571998007,171742.0,6243.249821662903
432000.0,333.6769841269841,14052.0,5583.999967575073
900000.0,14739.952614952615,172643.0,55.50000071525574
432000.0,279.99391403575504,14052.0,192.0000046491623
144000.0,162.78899835796386,13005.0,17.999999597668648
